algorithm,dataset,total_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_start_time,avg_exec_time,avg_finish_time,avg_wait_time,imbalance_degree,resource_utilization
Stochastic_Hill_Climbing,Low-High_Dataset,28.6,93.66047336540001,0.3240164987921691,538.4554402289,387.19355136210004,13.567926169211825,18.836036187913173,32.403948269211824,13.561880793571675,1.646960076707724,0.4035381360600579
Stochastic_Hill_Climbing,Random_Simple_Dataset,49.8,59.64611158540005,0.8404152859617786,723.5880970570996,833.2291982535002,16.742896094285715,14.529673197214118,31.272557820367346,16.735773772441352,1.8518797160155576,0.8142611268968187
Stochastic_Hill_Climbing,Stratified_Random_Dataset,249.9,76.66070659409995,3.4222387529733487,572.7904270471004,6034.491982929299,24.157008221143776,2.292057688880117,26.449054950542973,24.148367450679878,1.0733073495785121,0.5243654448472762
J2020,Low-High_Dataset,29.0,71.20001650270005,0.41495576805650475,196.21278619809968,0.00014907340009813198,37.3700446275862,6.76595814476206,44.13599152068966,5.140462072349377e-06,0.47205538661421353,0.6933392424454194
J2020,Random_Simple_Dataset,50.0,66.56624944459995,0.7617440424911364,237.2640974087999,0.0002698761002648098,37.383278958,4.7452819481759985,42.128549320000005,5.397522005296196e-06,0.22805979731766124,0.8986368091792036
J2020,Stratified_Random_Dataset,250.0,77.42253645360024,3.2913700802244676,222.81938577770006,0.0014772306981740257,39.159476601200005,0.8912775431108002,40.0507431516,5.908922792696104e-06,0.583308390685181,0.7213169095810705
Round_Robin,Low-High_Dataset,26.0,230.3995913856,0.11518901113809657,436.73321020780065,861.5323711396001,33.140232161538464,16.79743116183849,49.93765138846154,33.13586042844616,1.3666268588934543,0.1281603136624236
Round_Robin,Random_Simple_Dataset,47.7,289.7343260419997,0.1733848166082721,652.7677247526007,2667.3553169614015,56.3259544251389,13.678416203454873,70.00435853527777,56.32037733874157,0.5661133754185943,0.15862494933920154
Round_Robin,Stratified_Random_Dataset,249.0,136.7820205744998,1.8405018661229378,597.1190713890961,8447.678592210304,33.93312348353414,2.398068559795567,36.33118140883535,33.92642004903737,1.0456777495230787,0.29341969454363837
FCFS,Low-High_Dataset,28.8,79.91822750360043,0.37424751523901334,161.4087744838993,0.00014461689952440792,18.56734637869458,5.602809514615246,24.170144308374383,5.019470797060645e-06,0.1799131807415895,0.13930435061034324
FCFS,Random_Simple_Dataset,49.5,71.64256970060032,0.7125256882657682,224.23688100610178,0.0002472901012879447,26.681529951346942,4.527284780418567,31.208802564367346,4.995622025545548e-06,0.3690999221914211,0.21380115306834782
FCFS,Stratified_Random_Dataset,249.7,57.269823600100246,4.417426745700408,192.69138869969356,0.0011797646951890784,23.353478740790358,0.7715837689911678,24.125051926716466,4.724786096359098e-06,0.3057786074325203,0.22634141342414177
