algorithm,dataset,runs,num_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_wait_time,avg_start_time,avg_exec_time,avg_finish_time,imbalance_degree,resource_utilization,effective_slots
j2020,low_high,10,29.0,71.20001650270005,0.41495576805650475,196.21278619809968,0.00014907340009813198,5.140462072349377e-06,37.3700446275862,6.76595814476206,44.13599152068966,0.47205538661421353,0.6933392424454194,4.0
j2020,rand,10,50.0,66.56624944459995,0.7617440424911364,237.2640974087999,0.0002698761002648098,5.397522005296196e-06,37.383278958,4.7452819481759985,42.128549320000005,0.22805979731766124,0.8986368091792036,4.0
j2020,rand_stratified,10,250.0,77.42253645360024,3.2913700802244676,222.81938577770006,0.0014772306981740257,5.908922792696104e-06,39.159476601200005,0.8912775431108002,40.0507431516,0.583308390685181,0.7213169095810705,4.0
