algorithm,dataset,runs,num_tasks,makespan,throughput,total_cpu_time,total_wait_time,avg_wait_time,avg_start_time,avg_exec_time,avg_finish_time,imbalance_degree,resource_utilization,effective_slots
rr,low_high,10,26.0,230.3995913856,0.11518901113809657,436.73321020780065,861.5323711396001,33.13586042844616,33.140232161538464,16.79743116183849,49.93765138846154,1.3666268588934543,0.1281603136624236,15.0
rr,rand,10,47.7,289.7343260419997,0.1733848166082721,652.7677247526007,2667.3553169614015,56.32037733874157,56.3259544251389,13.678416203454873,70.00435853527777,0.5661133754185943,0.15862494933920154,15.0
rr,rand_stratified,10,249.0,136.7820205744998,1.8405018661229378,597.1190713890961,8447.678592210304,33.92642004903737,33.93312348353414,2.398068559795567,36.33118140883535,1.0456777495230787,0.29341969454363837,15.0
